50 5000 10
298 70 4946 4119
859 552 4119 38
971 1140 38 1009
132 63 1009 350
1370 756 350 90
963 558 90 1991
936 1088 1991 4604
696 893 4604 2809
333 891 2809 5503
1032 268 5503 1225
532 1388 1225 4827
1224 230 4827 1885
1334 905 1885 1253
699 90 1253 2822
945 780 2822 2025
485 611 2025 3398
1269 1081 3398 5116
568 917 5116 667
1020 756 667 4144
1154 1162 4144 1269
69 1356 1269 2971
570 717 2971 4394
173 695 4394 3211
616 865 3211 720
685 1129 720 5132
1149 943 5132 3774
738 866 3774 5550
1386 1071 5550 5023
1323 350 5023 1396
816 973 1396 591
1006 707 591 4270
181 643 4270 2567
235 582 2567 629
537 684 629 2331
185 707 2331 2917
38 907 2917 3471
60 129 3471 1375
1122 373 1375 4573
734 438 4573 580
393 619 580 1178
586 931 1178 99
1139 227 99 5407
49 1031 5407 3063
480 511 3063 4104
270 517 4104 2530
866 256 2530 5088
965 586 5088 4554
99 225 4554 4698
1434 660 4698 2808
418 653 2808 4946
860 1137 350 2025
106 141 4144 38
52 1191 99 4394
1058 616 2822 580
27 995 4573 3774
87 1137 1009 4104
352 1039 4554 2971
273 540 3063 4946
1011 591 1253 4946
877 227 99 5407
813 56 4119 4698
1237 875 3211 4144
959 221 4144 1225
1370 1178 629 5132
577 588 3211 1253
1133 577 1269 667
984 1203 1396 3398
406 1178 1009 5503
227 1139 3471 5132
1331 487 5503 667
809 1311 5116 4144
1409 504 5407 4698
800 1036 2822 4827
731 831 2808 3471
1308 188 3211 4119
873 1053 3063 4144
418 1051 5132 2917
824 768 5023 4554
923 1495 5116 720
814 866 3774 5407
55 185 2530 1253
1386 522 580 4604
1367 862 2809 3211
763 606 4270 3211
264 1212 5407 5088
873 1191 4394 99
141 1081 5116 3398
172 458 2530 667
1095 940 2822 5407
342 1084 1178 3471
397 1081 4573 2808
215 858 5550 2809
142 1094 4573 2567
777 569 4144 90
1041 627 1253 4119
347 740 1375 4104
360 108 350 4827
1138 850 38 2809
842 944 2822 4394
350 800 4270 2822
539 1049 2917 38
937 929 90 591
599 362 1178 1269
396 1108 1009 580
267 1039 591 350
1102 355 720 99
1275 1171 1009 4554
1063 905 1009 2808
837 588 3211 1253
1401 418 2917 4554
1096 841 1375 2567
128 129 3471 1375
1298 557 2530 5023
879 1476 1375 4270
323 434 629 1253
566 863 629 1375
793 927 5550 1178
353 203 2567 3063
728 115 4554 667
