400 600 500
1224 1134 2746 970
378 1151 970 1563
815 342 1563 681
355 845 681 3129
653 778 3129 1565
984 1010 1565 2968
1110 1252 2968 1743
897 792 1743 3431
28 761 3431 5008
40 154 5008 2600
1373 210 2600 724
1023 518 724 4091
147 487 4091 276
332 945 276 1283
517 724 1283 5443
277 400 5443 2847
234 448 2847 3789
122 800 3789 3307
842 502 3307 2444
1239 1340 2444 4391
606 504 4391 3268
589 1433 3268 825
220 568 825 2130
390 931 2130 5584
1240 652 5584 4560
1226 67 4560 4037
157 729 4037 2012
71 287 2012 1316
116 854 1316 3536
415 637 3536 1810
889 392 1810 2286
1341 279 2286 5099
665 681 5099 2491
137 697 2491 2467
256 360 2467 3716
1319 1071 3716 2512
1121 737 2512 4211
1366 235 4211 4199
776 804 4199 1820
1149 1167 1820 3863
1407 676 3863 1976
581 505 1976 211
732 176 211 4139
114 1081 4139 3259
913 433 3259 2707
1122 563 2707 1286
263 1264 1286 4100
1020 807 4100 5307
1244 695 5307 1646
1105 1284 1646 845
819 169 845 1050
411 511 1050 4914
255 1237 4914 4422
911 966 4422 233
801 924 233 4798
1367 968 4798 334
697 444 334 1322
831 642 1322 3862
1438 1348 3862 1650
814 672 1650 4858
1246 1067 4858 5672
760 502 5672 989
715 644 989 1309
472 671 1309 5216
897 1294 5216 3456
843 1344 3456 5026
223 688 5026 2028
450 778 2028 4719
770 1193 4719 577
871 677 577 900
31 278 900 2883
609 546 2883 2553
13 770 2553 113
763 745 113 870
595 474 870 5361
798 793 5361 1265
317 873 1265 3230
858 685 3230 1307
378 776 1307 2110
122 696 2110 1332
524 1141 1332 3273
1069 257 3273 3584
405 685 3584 5123
651 721 5123 2888
541 637 2888 3285
1078 907 3285 2621
450 223 2621 2046
1110 1155 2046 3257
341 723 3257 662
449 242 662 408
484 729 408 5525
20 449 5525 1170
1081 433 1170 5434
1071 1086 5434 4605
364 441 4605 190
538 504 190 3063
347 990 3063 5505
587 215 5505 3073
988 727 3073 5617
989 301 5617 721
18 544 721 4395
1019 994 4395 2782
158 306 2782 1591
1343 278 1591 1108
214 580 1108 4047
625 387 4047 1873
702 532 1873 5167
404 759 5167 3210
1355 308 3210 3206
1080 561 3206 2740
398 31 2740 3846
439 789 3846 4771
710 688 4771 2163
803 842 2163 4817
962 723 4817 4711
1123 299 4711 5448
313 392 5448 4490
1413 1415 4490 3810
793 1104 3810 58
527 742 58 5152
294 549 5152 4218
1150 1030 4218 2635
547 223 2635 622
1375 793 622 1004
781 1022 1004 1541
911 942 1541 812
345 609 812 4067
1000 694 4067 4098
1370 660 4098 3885
1205 822 3885 1036
549 1155 1036 4819
1388 740 4819 5333
656 633 5333 3818
579 359 3818 3463
1292 1287 3463 741
742 969 741 4918
1204 779 4918 2388
426 1282 2388 209
1146 262 209 5180
1120 437 5180 5594
66 551 5594 1
104 669 1 378
1431 339 378 1718
648 659 1718 2165
779 303 2165 5195
826 118 5195 3481
331 952 3481 4665
1093 147 4665 3985
799 930 3985 1775
1125 446 1775 3437
180 478 3437 109
965 967 109 1463
835 921 1463 1112
599 620 1112 1113
900 745 1113 56
48 762 56 1924
70 648 1924 2233
1245 1297 2233 4154
1049 588 4154 2862
0 24 2862 3269
1010 893 3269 326
158 302 326 5247
1260 614 5247 4140
226 321 4140 841
610 1017 841 3040
984 736 3040 410
968 348 410 3229
374 418 3229 301
1410 820 301 2642
547 900 2642 176
1366 826 176 303
1349 1050 303 3020
651 1108 3020 4646
1230 378 4646 5220
557 409 5220 2516
1431 690 2516 2427
616 23 2427 1237
889 761 1237 3553
956 207 3553 1071
1287 888 1071 65
574 667 65 4043
1008 496 4043 1180
812 360 1180 1528
1281 666 1528 5155
167 646 5155 5046
144 807 5046 1584
1329 780 1584 4131
109 1023 4131 4331
1389 257 4331 2790
810 418 2790 4045
1421 474 4045 1900
831 321 1900 168
969 290 168 3592
1241 662 3592 3092
929 662 3092 3761
139 666 3761 3685
658 458 3685 3502
329 591 3502 3986
385 1215 3986 444
500 1038 444 4219
876 646 4219 4289
184 1091 4289 517
409 454 517 217
88 352 217 861
1414 961 861 3033
967 964 3033 5396
1391 546 5396 2099
590 555 2099 3638
288 688 3638 767
907 488 767 2164
437 895 2164 1981
862 124 1981 4700
347 144 4700 3692
1121 31 3692 1436
703 845 1436 1098
514 751 1098 2328
1265 581 2328 2620
464 652 2620 5429
623 861 5429 2170
1214 873 2170 965
1275 312 965 4381
604 359 4381 2339
477 681 2339 1610
676 1482 1610 1774
277 956 1774 400
1278 429 400 5295
687 133 5295 5276
807 751 5276 4443
167 970 4443 633
1072 156 633 2773
1308 354 2773 14
916 656 14 1975
1256 550 1975 3290
149 993 3290 2983
876 670 2983 2836
1230 1062 2836 3375
1116 571 3375 5432
827 507 5432 4935
252 703 4935 1313
1276 1030 1313 499
166 657 499 1399
689 615 1399 3295
698 445 3295 2251
513 494 2251 2143
370 1104 2143 1783
1273 108 1783 401
1027 681 401 1523
195 1305 1523 1455
298 647 1455 130
82 363 130 3694
1281 781 3694 5173
5 134 5173 1564
558 428 1564 3085
190 653 3085 3835
681 966 3835 3338
707 779 3338 3485
28 30 3485 3430
1368 1034 3430 5666
1387 312 5666 4981
68 173 4981 1115
872 1210 1115 2739
1255 551 2739 2047
984 612 2047 3090
561 255 3090 3081
1276 501 3081 2083
420 1026 2083 227
223 828 227 3508
825 569 3508 1815
1247 515 1815 5162
476 154 5162 4822
661 1228 4822 5066
1285 964 5066 3614
1037 899 3614 5169
1360 1018 5169 4370
358 1050 4370 2809
1280 1118 2809 4004
1065 76 4004 4333
1257 611 4333 5460
35 733 5460 1954
1235 1450 1954 2327
1211 1185 2327 1985
1189 866 1985 3518
1240 198 3518 2464
329 966 2464 120
1251 1165 120 1156
481 1181 1156 249
908 1094 249 602
1280 1428 602 1122
281 1019 1122 2282
855 830 2282 1717
1220 241 1717 914
1154 1163 914 1382
542 296 1382 4808
764 230 4808 1047
275 1019 1047 5035
379 930 5035 4556
1184 1070 4556 2332
498 273 2332 1549
1204 454 1549 730
863 436 730 4450
846 702 4450 2215
297 1039 2215 2951
708 429 2951 3120
444 620 3120 5025
217 853 5025 1255
938 562 1255 2192
284 955 2192 710
1155 920 710 3767
755 1148 3767 4146
191 607 4146 89
950 302 89 52
526 986 52 1964
1252 604 1964 172
623 737 172 5554
727 437 5554 3526
1064 1119 3526 4046
976 397 4046 2137
195 670 2137 5244
776 444 5244 571
1258 492 571 4352
1051 171 4352 3060
556 352 3060 1088
844 1018 1088 739
153 971 739 4668
1320 337 4668 472
1119 905 472 5040
404 674 5040 5398
936 343 5398 1974
49 905 1974 1556
40 673 1556 2649
359 1207 2649 5095
768 663 5095 3633
338 477 3633 956
939 686 956 4339
1212 452 4339 4343
427 1140 4343 1776
437 427 1776 2785
1368 532 2785 4432
142 300 4432 4580
1192 1247 4580 1801
119 233 1801 1285
965 566 1285 1805
150 725 1805 4725
1372 659 4725 1139
148 491 1139 5331
877 670 5331 3071
868 726 3071 328
996 605 328 4875
1072 201 4875 5084
204 719 5084 3651
814 469 3651 579
555 377 579 5196
632 576 5196 1791
218 827 1791 1318
581 992 1318 4164
384 756 4164 5015
1209 394 5015 659
985 498 659 1290
1320 508 1290 4967
1131 662 4967 3563
1026 904 3563 685
111 1329 685 2900
459 1238 2900 1571
1364 371 1571 5024
1050 505 5024 1543
103 355 1543 3347
351 85 3347 4861
47 1134 4861 3027
31 1226 3027 4980
366 710 4980 3714
1111 244 3714 4312
22 778 4312 1085
1203 344 1085 5491
1133 740 5491 2503
1266 592 2503 716
